ID;AREA;CAMPO_DE_FORMACION;NIVEL;ALCALDIA;INSCRITOS;EGRESADOS;GRADUADOS;Campo_For_Abrev;
"4236;Área 1;Ingeniería, manufactura y construcción;Doctorado;COY;805;0;134;Ingeniería, manufactura y construcción COY;"
4237;Área 3;Servicios;Doctorado;COY;8;5;5;Servicios COY;
4238;Área 2;Salud;Doctorado;COY;381;1;29;Salud COY;
"5211;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;CUJ;8;2;2;Ciencias naturales, matemáticas y estadística CUJ;"
5212;Área 3;Ciencias sociales y derecho;Especialidad;CUJ;22;7;0;Ciencias sociales y derecho CUJ;
5213;Área 2;Salud;Especialidad;CUJ;10;0;10;Salud CUJ;
5221;Área 4;Artes y humanidades;Maestría;CUJ;113;14;9;Artes y humanidades CUJ;
"5222;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;CUJ;42;6;3;Ciencias naturales, matemáticas y estadística CUJ;"
5223;Área 3;Ciencias sociales y derecho;Maestría;CUJ;180;65;23;Ciencias sociales y derecho CUJ;
5224;Área 4;Educación;Maestría;CUJ;19;4;4;Educación CUJ;
"5231;Área 1;Ciencias naturales, matemáticas y estadística;Doctorado;CUJ;34;1;1;Ciencias naturales, matemáticas y estadística CUJ;"
5231;Área 3;Ciencias sociales y derecho;Doctorado;CUJ;108;30;7;Ciencias sociales y derecho CUJ;
6211;Área 4;Artes y humanidades;Especialidad;CUH;85;54;34;Artes y humanidades CUH;
"6212;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;CUH;129;66;14;Ciencias naturales, matemáticas y estadística CUH;"
6213;Área 3;Ciencias sociales y derecho;Especialidad;CUH;2036;970;304;Ciencias sociales y derecho CUH;
6214;Área 4;Educación;Especialidad;CUH;47;27;4;Educación CUH;
"6215;Área 1;Ingeniería, manufactura y construcción;Especialidad;CUH;25;29;1;Ingeniería, manufactura y construcción CUH;"
6216;Área 3;Servicios;Especialidad;CUH;1;15;15;Servicios CUH;
6217;Área 2;Salud;Especialidad;CUH;458;207;209;Salud CUH;
6221;Área 4;Artes y humanidades;Maestría;CUH;124;40;27;Artes y humanidades CUH;
"6222;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;CUH;59;9;0;Ciencias naturales, matemáticas y estadística CUH;"
6223;Área 3;Ciencias sociales y derecho;Maestría;CUH;4965;1428;754;Ciencias sociales y derecho CUH;
6224;Área 4;Educación;Maestría;CUH;397;238;157;Educación CUH;
